seed,method,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,edges,base_g0,base_gX,label_d_g0,label_d_gX,label_dH_g0,label_dH_gX,label_dH_g0gX,task0_d_g0,task0_d_gX,task0_dH_g0,task0_dH_gX,task0_dH_g0gX,task1_d_g0,task1_d_gX,task1_dH_g0,task1_dH_gX,task1_dH_g0gX,task2_d_g0,task2_d_gX,task2_dH_g0,task2_dH_gX,task2_dH_g0gX
123,SLL,cora,0.1,100,30,0.1,20,500,1045.0,0.7438596487045288,0.772596001625061,-0.42266044757432986,-0.03582866837351025,-146,-63,-652,-0.048616617241557226,-0.022882951261088528,-6,-6,-6,-0.03138048574159187,-0.012190757478392192,12,12,12,-0.034134016481776754,-0.02618632380754256,44,44,44
123,SLL,cora,0.1,100,30,0.25,20,500,2646.0,0.7438596487045288,0.772596001625061,-0.6152038530081158,-0.04211749966176581,-362,-227,-1515,-0.13690098900653405,-0.003155495787551921,-30,-30,-30,-0.05937987059603004,-0.0005273459235132969,6,6,6,-0.06006457120107038,-0.04320479598751444,110,110,110
123,SLL,cora,0.1,100,30,0.5,20,500,5279.0,0.7438596487045288,0.772596001625061,-0.7672523250409726,-0.09133108476202338,-651,-517,-3035,-0.22321568968769695,0.02119071453735636,23,23,23,-0.07856088744712726,-0.027023188133074437,23,23,23,0.011702441878781075,-0.06160232545444791,211,211,211
123,SLL,citeseer,0.1,100,30,0.1,20,500,908.0,0.6552706360816956,0.6541708707809448,-0.5123583471677863,-0.0964252864724932,-178,-65,-517,-0.19653315059740092,-0.06364771314758097,88,88,88,-0.02639416406314469,0.01746409761501999,98,98,98,0.023540122398233852,0.027461824659644897,84,84,84
123,SLL,citeseer,0.1,100,30,0.25,20,500,2243.0,0.6552706360816956,0.6541708707809448,-0.7548066017248689,-0.10804976470057308,-342,-123,-1290,-0.10120204353271325,-0.030019240135085754,186,186,186,-0.11968946509213008,0.011028940526785713,132,132,132,-0.03647032092366379,-0.012648586944062271,156,156,156
123,SLL,citeseer,0.1,100,30,0.5,20,500,4508.0,0.6552706360816956,0.6541708707809448,-0.8473460669197794,-0.11243657619061995,-648,-192,-2580,-0.14502687279405554,-0.02430435319743962,318,318,318,-0.141791859399122,-0.002095125642354775,302,302,302,-0.1474659169037798,-0.04562681536556064,302,302,302
123,SLL,Polblogs,0.1,100,30,0.1,20,500,2360.0,0.8145695328712463,0.8483943343162537,-0.29458722426530815,0.017999137470539234,-165,173,-518,0.03219006385829859,0.017574493374605742,735,735,735,0.03733048091561919,0.02272426602031652,735,735,735,0.04160722258648245,0.037513520765348016,735,735,735
123,SLL,Polblogs,0.1,100,30,0.25,20,500,3970.0,0.8145695328712463,0.8483943343162537,-0.4365034680260397,0.019085065661170558,-232,367,-851,0.020788744815672278,0.003375704441159792,990,990,990,0.009818918643394792,0.005177838831985637,990,990,990,0.02321424219610842,0.02836287864737419,990,990,990
123,SLL,Polblogs,0.1,100,30,0.5,20,500,6091.0,0.8145695328712463,0.8483943343162537,-0.5705385130244299,0.0290430927212754,-265,660,-1066,-0.11445696254490867,0.008355908445298729,1241,1241,1241,-0.10888480632878679,0.017838810728695385,1241,1241,1241,-0.1335436930343799,0.02989978227025114,1241,1241,1241
123,SLL,BlogCatalog,0.1,100,30,0.1,20,500,9530.0,0.6836363673210144,0.6863968968391418,-0.2346390710944909,-0.005631296945746303,-3476,-76,-3900,-0.0018181800842285156,-0.0016505098337536994,4450,4450,4450,0.0,0.0,4450,4450,4450,0.0013723124901203754,-0.0023687065491386026,3886,3886,3886
123,SLL,BlogCatalog,0.1,100,30,0.25,20,500,22337.0,0.6836363673210144,0.6863968968391418,-0.3812572995216678,-0.013585652997746944,-7923,-214,-8792,0.0,-7.17595690769383e-05,10523,10523,10523,0.0,0.0,10523,10523,10523,0.0038975626635481637,-3.2214341312323484e-05,9185,9185,9185
123,SLL,BlogCatalog,0.1,100,30,0.5,20,500,37405.0,0.6836363673210144,0.6863968968391418,-0.4889950758784901,-0.01645705861348793,-12825,-476,-14830,-0.0006060600280761719,-7.17595690769383e-05,17211,17211,17211,-0.0006060600280761719,0.0,17211,17211,17211,-0.00448012524983558,-0.006401445249970069,14911,14911,14911