dataset,seed,config,g0_method,g0_size,attack_epochs,attack_method,budget_pct,d_g0,d_gX,H_overall,H_g0_base,H_gX_base,H_g0gX_base,H_g0_lock,H_gX_lock,H_g0gX_lock,d_H_g0,d_H_gX,d_H_g0gX,changes_g0,changes_gX,changes_g0gX,num_classes,edges_modified,orig_edges,f1_g0_base_0,f1_gX_base_0,f1_g0_lock_0,f1_gX_lock_0,d_g0_0,d_gX_0,num_classes_0,f1_g0_base_1,f1_gX_base_1,f1_g0_lock_1,f1_gX_lock_1,d_g0_1,d_gX_1,num_classes_1
cora,124,config3.yml,bias,0.1,30,sll,0.25,0.15068493150684933,-0.010869565217391259,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.1698595146871009,0.7982356932820629,0.5751518218623481,-0.8048422597212032,-0.01467422484877529,-0.2899061249615266,1462.0,272.0,3526.0,7,2630,5278,0.7407407407407407,0.7051569506726457,0.35185185185185186,0.6087443946188341,-0.5249999999999999,-0.13672496025437195,7,0.6759259259259259,0.7219730941704036,0.7777777777777778,0.7141255605381166,0.15068493150684933,-0.010869565217391259,2
cora,124,config3.yml,bias,0.1,30,sll_no_g,0.25,-0.012658227848101472,-0.08333333333333329,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.2826086956521739,0.7865934065934066,0.6627697841726619,-0.6753006475485661,-0.02904522485864271,-0.181731246581682,356.0,526.0,1914.0,7,1398,5278,0.7314814814814816,0.7174887892376681,0.5185185185185185,0.6681614349775785,-0.2911392405063293,-0.0687499999999999,7,0.7314814814814816,0.7533632286995515,0.7222222222222222,0.6905829596412556,-0.012658227848101472,-0.08333333333333329,2
cora,124,config3.yml,bias,0.1,30,noise,0.25,0.07692307692307696,0.025796661608497876,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,0.18297101449275363,0.8101236295777934,0.592810621242485,-0.7897779833487512,0.0,-0.2681042201361788,5428.0,0.0,0.0,7,2714,5278,0.7037037037037037,0.6860986547085202,0.4444444444444444,0.6659192825112108,-0.368421052631579,-0.029411764705882276,7,0.7222222222222222,0.7387892376681614,0.7777777777777778,0.7578475336322871,0.07692307692307696,0.025796661608497876,2
cora,124,config3.yml,bias,0.1,30,heuristic,0.25,-0.6962025316455697,0.033707865168539346,0.8099658961727927,0.8703703703703703,0.8101236295777934,0.8099658961727927,nan,0.8101236295777934,0.8101236295777934,nan,0.0,0.00019474079803360398,108.0,0.0,1874.0,7,991,5278,0.6944444444444444,0.7242152466367713,0.06481481481481481,0.6928251121076233,-0.9066666666666667,-0.04334365325077397,7,0.7314814814814816,0.6984304932735426,0.2222222222222222,0.7219730941704036,-0.6962025316455697,0.033707865168539346,2
citeseer,124,config3.yml,bias,0.1,30,sll,0.25,0.011627906976744196,0.002801120448179255,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.1943127962085308,0.7212309283682441,0.5242367240630879,-0.7571090047393365,-0.02309323091485661,-0.2906662038630243,1190.0,492.0,3168.0,6,2425,4614,0.4752475247524752,0.5828698553948832,0.3564356435643564,0.5350389321468298,-0.25,-0.08206106870229005,6,0.8514851485148515,0.7942157953281423,0.8613861386138614,0.796440489432703,0.011627906976744196,0.002801120448179255,2
citeseer,124,config3.yml,bias,0.1,30,sll_no_g,0.25,0.0,0.015669515669515646,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.4228187919463087,0.7231479107921046,0.6185367569468871,-0.4714765100671141,-0.02049667961287138,-0.16307079279972517,222.0,560.0,1610.0,6,1196,4614,0.5148514851485149,0.5828698553948832,0.44554455445544555,0.560622914349277,-0.13461538461538464,-0.03816793893129767,6,0.8514851485148515,0.7808676307007787,0.8514851485148515,0.7931034482758621,0.0,0.015669515669515646,2
citeseer,124,config3.yml,bias,0.1,30,noise,0.25,0.074074074074074,0.02553191489361701,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,0.23902236951118475,0.7382802035896062,0.5656348523932359,-0.7012220381110191,0.0,-0.23465125837466566,4732.0,0.0,0.0,6,2366,4614,0.5643564356435643,0.592880978865406,0.5247524752475248,0.5628476084538376,-0.0701754385964911,-0.050656660412757945,6,0.801980198019802,0.7842046718576196,0.8613861386138614,0.8042269187986651,0.074074074074074,0.02553191489361701,2
citeseer,124,config3.yml,bias,0.1,30,heuristic,0.25,0.023529411764705903,0.0,0.7390550498482878,0.8,0.7382802035896062,0.7390550498482878,nan,0.7382802035896062,0.7382802035896062,nan,0.0,-0.0010484283394595392,100.0,0.0,1662.0,6,881,4614,0.5148514851485149,0.6084538375973304,0.1485148514851485,0.542825361512792,-0.7115384615384615,-0.10786106032906762,6,0.8415841584158416,0.7842046718576196,0.8613861386138614,0.7842046718576196,0.023529411764705903,0.0,2
cora,124,config3.yml,many_clusters,0.1,30,sll,0.25,-0.044776119402985114,-0.10501567398119119,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.4719626168224299,0.8073817762399077,0.5741396761133604,-0.43933115640130616,-0.012833998447562613,-0.2911557402277623,1166.0,280.0,3822.0,7,2634,5278,0.76,0.7288888888888889,0.22,0.6711111111111111,-0.7105263157894737,-0.07926829268292689,7,0.67,0.7088888888888889,0.64,0.6344444444444445,-0.044776119402985114,-0.10501567398119119,2
cora,124,config3.yml,many_clusters,0.1,30,sll_no_g,0.25,0.0,-0.037216828478964396,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.7320490367775832,0.805171240644137,0.6875583203732504,-0.13036102377988318,-0.015536766394009116,-0.1511268269169554,156.0,428.0,1720.0,7,1152,5278,0.76,0.7066666666666667,0.64,0.7066666666666667,-0.15789473684210525,0.0,7,0.8000000000000002,0.6866666666666666,0.8000000000000002,0.6611111111111111,0.0,-0.037216828478964396,2
cora,124,config3.yml,many_clusters,0.1,30,noise,0.25,0.0999999999999998,0.07443365695792879,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,0.46104520679705036,0.8178784266984506,0.6702935222672065,-0.4523005133712149,0.0,-0.17244228993536465,5400.0,0.0,0.0,7,2700,5278,0.76,0.7255555555555555,0.64,0.6988888888888889,-0.15789473684210525,-0.036753445635528265,7,0.8000000000000002,0.6866666666666666,0.88,0.7377777777777778,0.0999999999999998,0.07443365695792879,2
cora,124,config3.yml,many_clusters,0.1,30,heuristic,0.25,0.047619047619047804,0.03981623277182247,0.8099658961727927,0.8417849898580122,0.8178784266984506,0.8099658961727927,nan,0.8178784266984506,0.8178784266984506,nan,0.0,0.009768967512145565,986.0,0.0,1180.0,7,1083,5278,0.74,0.6922222222222222,0.57,0.6644444444444444,-0.2297297297297298,-0.04012841091492779,7,0.8399999999999999,0.7255555555555555,0.88,0.7544444444444445,0.047619047619047804,0.03981623277182247,2
citeseer,124,config3.yml,many_clusters,0.1,30,sll,0.25,0.02409638554216873,0.026722925457102715,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.39581256231306083,0.7054658736901728,0.5265615878575598,-0.5463169113349606,-0.017988050594446366,-0.2875204790689792,1189.0,471.0,3064.0,6,2362,4614,0.6476190476190476,0.5687150837988827,0.3333333333333333,0.5452513966480447,-0.4852941176470589,-0.04125736738703345,6,0.7904761904761904,0.794413407821229,0.8095238095238095,0.8156424581005587,0.02409638554216873,0.026722925457102715,2
citeseer,124,config3.yml,many_clusters,0.1,30,sll_no_g,0.25,0.0,-0.017906336088154184,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.6830188679245283,0.7117447769621683,0.6327077747989276,-0.2171190631099545,-0.009247786504833974,-0.14389628360051268,243.0,493.0,1474.0,6,1105,4614,0.6095238095238096,0.582122905027933,0.37142857142857144,0.5441340782122905,-0.39062500000000006,-0.06525911708253353,6,0.8095238095238095,0.8111731843575418,0.8095238095238095,0.7966480446927374,0.0,-0.017906336088154184,2
citeseer,124,config3.yml,many_clusters,0.1,30,noise,0.25,0.0,-0.015109890109890162,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,0.3085725004689552,0.7183882783882783,0.5638111888111889,-0.6463120718762735,0.0,-0.23711881959682543,4568.0,0.0,0.0,6,2284,4614,0.638095238095238,0.5832402234636872,0.41904761904761906,0.5452513966480447,-0.3432835820895522,-0.06513409961685836,6,0.8095238095238095,0.8134078212290503,0.8095238095238095,0.8011173184357542,0.0,-0.015109890109890162,2
citeseer,124,config3.yml,many_clusters,0.1,30,heuristic,0.25,0.011904761904761722,0.005594405594405588,0.7390550498482878,0.8724428399518652,0.7183882783882783,0.7390550498482878,nan,0.7183882783882783,0.7183882783882783,nan,0.0,-0.02796377815732664,831.0,0.0,1572.0,6,1201,4614,0.6761904761904762,0.5664804469273743,0.19047619047619047,0.576536312849162,-0.7183098591549296,0.01775147928994071,6,0.8000000000000002,0.7988826815642458,0.8095238095238095,0.8033519553072626,0.011904761904761722,0.005594405594405588,2
cora,124,config3.yml,large_cluster,0.1,30,sll,0.25,0.0684931506849314,0.023529411764705837,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.2991913746630728,0.8260471503776607,0.5694269123958596,-0.5832275792631126,-0.011932969260072777,-0.2969742120174626,1518.0,188.0,3590.0,7,2648,5278,0.5360824742268041,0.7286821705426357,0.27835051546391754,0.6943521594684385,-0.4807692307692307,-0.04711246200607913,7,0.752577319587629,0.753045404208195,0.8041237113402062,0.770764119601329,0.0684931506849314,0.023529411764705837,2
cora,124,config3.yml,large_cluster,0.1,30,sll_no_g,0.25,0.04225352112676057,0.03687315634218293,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.6801007556675063,0.8255616786774057,0.7583442408376964,-0.05262229366160611,-0.012513660787378394,-0.06373312207219613,78.0,886.0,708.0,7,836,5278,0.5463917525773195,0.7331118493909192,0.4742268041237113,0.7242524916943521,-0.13207547169811315,-0.012084592145015234,7,0.7319587628865979,0.7508305647840532,0.7628865979381443,0.7785160575858251,0.04225352112676057,0.03687315634218293,2
cora,124,config3.yml,large_cluster,0.1,30,noise,0.25,0.09999999999999978,0.03458646616541351,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,0.24577731816614962,0.8360233918128654,0.604909858074415,-0.657633152126531,0.0,-0.2531662617738567,5190.0,0.0,0.0,7,2595,5278,0.5670103092783505,0.7452934662236987,0.38144329896907214,0.7009966777408638,-0.32727272727272727,-0.05943536404160465,7,0.7216494845360826,0.7364341085271318,0.7938144329896907,0.7619047619047619,0.09999999999999978,0.03458646616541351,2
cora,124,config3.yml,large_cluster,0.1,30,heuristic,0.25,-0.6610169491525424,0.1154471544715447,0.8099658961727927,0.7178770949720671,0.8360233918128654,0.8099658961727927,nan,0.8360233918128654,0.8360233918128654,nan,0.0,0.032171102219486325,716.0,0.0,1290.0,7,1003,5278,0.5567010309278351,0.6910299003322259,0.17525773195876287,0.7131782945736435,-0.6851851851851852,0.03205128205128215,7,0.6082474226804123,0.6810631229235881,0.20618556701030927,0.7596899224806202,-0.6610169491525424,0.1154471544715447,2
citeseer,124,config3.yml,large_cluster,0.1,30,sll,0.25,0.0,0.036984352773826314,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.5241128298453139,0.7027239392352017,0.5559091566613626,-0.3370861029287025,-0.04437191473611711,-0.24781089476964013,1024.0,870.0,2956.0,6,2425,4614,0.5773195876288659,0.5503875968992248,0.061855670103092786,0.521594684385382,-0.8928571428571428,-0.0523138832997988,6,0.7938144329896907,0.7785160575858251,0.7938144329896907,0.8073089700996677,0.0,0.036984352773826314,2
citeseer,124,config3.yml,large_cluster,0.1,30,sll_no_g,0.25,0.0,0.0,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.7488226059654631,0.7304646251319957,0.6790748102638237,-0.05286632253944602,-0.006647600724114678,-0.08115801332631019,96.0,810.0,1182.0,6,1044,4614,0.6391752577319587,0.5658914728682171,0.4845360824742268,0.5669988925802879,-0.2419354838709677,0.001956947162426562,6,0.7938144329896907,0.8028792912513842,0.7938144329896907,0.8028792912513842,0.0,0.0,2
citeseer,124,config3.yml,large_cluster,0.1,30,noise,0.25,0.0,-0.03556771545827634,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,0.6141479099678456,0.7353529579879966,0.6832453051643192,-0.22320698675677153,0.0,-0.07551500351080091,4480.0,0.0,0.0,6,2240,4614,0.4536082474226804,0.5669988925802879,0.2268041237113402,0.5370985603543743,-0.5,-0.05273437499999996,6,0.7938144329896907,0.8095238095238095,0.7938144329896907,0.7807308970099668,0.0,-0.03556771545827634,2
citeseer,124,config3.yml,large_cluster,0.1,30,heuristic,0.25,0.0,0.009817671809256679,0.7390550498482878,0.7906197654941374,0.7353529579879966,0.7390550498482878,nan,0.7353529579879966,0.7353529579879966,nan,0.0,-0.005009223414482055,1194.0,0.0,1036.0,6,1115,4614,0.6082474226804123,0.5658914728682171,0.13402061855670103,0.5780730897009967,-0.7796610169491526,0.02152641878669277,6,0.7938144329896907,0.7895902547065338,0.7938144329896907,0.7973421926910299,0.0,0.009817671809256679,2
cora,123,config3.yml,random,0.1,30,sll,0.25,0.12903225806451601,0.05214723926380368,0.8099658961727927,0.8461538461538461,0.8168714555765595,0.8099658961727927,0.180622009569378,0.8062283737024222,0.5773260951900012,-0.7865376250543714,-0.013029077955264428,-0.2872217238800406,1572.0,206.0,3512.0,7,2645,5278,0.6526315789473685,0.7027624309392265,0.42105263157894735,0.7082872928176795,-0.35483870967741943,0.007861635220125765,7,0.6526315789473685,0.7204419889502761,0.7368421052631579,0.7580110497237568,0.12903225806451601,0.05214723926380368,2
cora,124,config3.yml,random,0.1,30,sll_no_g,0.25,0.11999999999999986,0.0861788617886179,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.29775280898876405,0.7836871508379888,0.6483094640484276,-0.6238911886457718,-0.029524944329413588,-0.1995842453221986,260.0,450.0,2292.0,7,1501,5278,0.6448598130841121,0.7290033594624858,0.5233644859813084,0.6808510638297872,-0.1884057971014493,-0.06605222734254974,7,0.7009345794392523,0.6886898096304591,0.7850467289719625,0.748040313549832,0.11999999999999986,0.0861788617886179,2
cora,124,config3.yml,random,0.1,30,noise,0.25,0.06329113924050635,-0.051529790660225436,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,0.18097361575622445,0.8075294117647058,0.5963893447796995,-0.7714017485184533,0.0,-0.2636858569012271,5290.0,0.0,0.0,7,2645,5278,0.7102803738317757,0.7077267637178052,0.4392523364485981,0.6819708846584547,-0.381578947368421,-0.03639240506329114,7,0.7383177570093457,0.6954087346024636,0.7850467289719625,0.6595744680851063,0.06329113924050635,-0.051529790660225436,2
cora,124,config3.yml,random,0.1,30,heuristic,0.25,-0.76,0.05536332179930795,0.8099658961727927,0.7916666666666666,0.8075294117647058,0.8099658961727927,nan,0.8075294117647058,0.8075294117647058,nan,0.0,-0.003008132094943261,96.0,0.0,1960.0,7,1028,5278,0.6542056074766355,0.7166853303471443,0.04672897196261682,0.6752519596864501,-0.9285714285714286,-0.05781249999999987,7,0.7009345794392523,0.6472564389697648,0.16822429906542055,0.683090705487122,-0.76,0.05536332179930795,2
citeseer,124,config3.yml,random,0.1,30,sll,0.25,0.022988505747126443,0.0521739130434783,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.1773308957952468,0.725373904074265,0.5224702812409394,-0.7783363802559414,-0.024497163486333236,-0.2930563408663653,1036.0,488.0,3300.0,6,2412,4614,0.5272727272727272,0.6280898876404495,0.2636363636363636,0.5707865168539326,-0.5,-0.09123434704830065,6,0.7909090909090909,0.7752808988764045,0.8090909090909091,0.8157303370786517,0.022988505747126443,0.0521739130434783,2
citeseer,124,config3.yml,random,0.1,30,sll_no_g,0.25,0.011363636363636158,-0.0014005602240896948,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.323943661971831,0.7257941550190598,0.6175543097407148,-0.5950704225352113,-0.023931998422643815,-0.16440012165875134,222.0,602.0,1612.0,6,1218,4614,0.5727272727272728,0.6067415730337079,0.39090909090909093,0.5719101123595506,-0.31746031746031744,-0.057407407407407435,6,0.8000000000000002,0.8022471910112359,0.8090909090909091,0.8011235955056178,0.011363636363636158,-0.0014005602240896948,2
citeseer,124,config3.yml,random,0.1,30,noise,0.25,-0.011111111111111183,-0.030470914127423872,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,0.1818969250757904,0.7435897435897436,0.5516138412329166,-0.7726288436552621,0.0,-0.2536227966426167,4540.0,0.0,0.0,6,2270,4614,0.5727272727272728,0.596629213483146,0.37272727272727274,0.5752808988764045,-0.3492063492063492,-0.03578154425612036,6,0.8181818181818182,0.8112359550561797,0.8090909090909091,0.7865168539325842,-0.011111111111111183,-0.030470914127423872,2
citeseer,124,config3.yml,random,0.1,30,heuristic,0.25,0.034883720930232495,-0.004225352112675955,0.7390550498482878,0.8,0.7435897435897436,0.7390550498482878,nan,0.7435897435897436,0.7435897435897436,nan,0.0,0.006135799684186773,90.0,0.0,1650.0,6,870,4614,0.4909090909090909,0.597752808988764,0.16363636363636364,0.6089887640449438,-0.6666666666666666,0.018796992481203055,6,0.7818181818181819,0.797752808988764,0.8090909090909091,0.7943820224719101,0.034883720930232495,-0.004225352112675955,2
BlogCatalog,124,config3.yml,bias,0.1,30,sll,0.25,0.014705882352941175,0.0666666666666666,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.23504485811975803,0.39970277988227754,0.31827067345171917,-0.574437415267643,-0.0037837573930586603,-0.20645799671004605,66378.0,2654.0,102652.0,6,85842,171743,0.6698113207547169,0.6778523489932886,0.3113207547169811,0.6375838926174496,-0.5352112676056338,-0.05940594059405948,6,0.6415094339622641,0.6208053691275168,0.6509433962264151,0.6621923937360179,0.014705882352941175,0.0666666666666666,2
BlogCatalog,124,config3.yml,bias,0.1,30,sll_no_g,0.25,-0.028169014084507036,0.010204081632653047,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.3573481116584565,0.4032201684988479,0.3708475167124636,-0.3530001580842232,0.004982955894299989,-0.07536852787740433,5204.0,8744.0,33638.0,6,23793,171743,0.7169811320754716,0.6733780760626398,0.39622641509433965,0.6923937360178971,-0.4473684210526315,0.028239202657807407,6,0.6698113207547169,0.6577181208053692,0.6509433962264151,0.6644295302013423,-0.028169014084507036,0.010204081632653047,2
BlogCatalog,124,config3.yml,bias,0.1,30,noise,0.25,-0.014285714285714284,0.01030927835051562,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,0.2214216873134153,0.40122090243812747,0.3396282019544742,-0.5991029698642202,0.0,-0.15320742300938905,171396.0,0.0,0.0,6,85698,171743,0.7830188679245284,0.6789709172259508,0.4528301886792453,0.6554809843400448,-0.42168674698795183,-0.034596375617792455,6,0.660377358490566,0.6510067114093959,0.6509433962264151,0.6577181208053692,-0.014285714285714284,0.01030927835051562,2
BlogCatalog,124,config3.yml,bias,0.1,30,heuristic,0.25,-0.014285714285714284,-0.021812080536912748,0.40107602638826617,0.5523156089193825,0.40122090243812747,0.40107602638826617,nan,0.40122090243812747,0.40122090243812747,nan,0.0,0.00036121842326484224,4664.0,0.0,66892.0,6,35778,171743,0.6792452830188679,0.6935123042505593,0.05660377358490566,0.6823266219239373,-0.9166666666666666,-0.0161290322580646,6,0.660377358490566,0.6666666666666666,0.6509433962264151,0.6521252796420581,-0.014285714285714284,-0.021812080536912748,2
Polblogs,124,config3.yml,bias,0.1,30,sll,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.5607476635514018,0.8967488634798182,0.7947358454838099,-0.3952721275426059,-0.010124192301308468,-0.12258852990344232,1406.0,1344.0,6128.0,2,4439,16715,0.8850574712643678,0.8760139049826188,0.3563218390804598,0.8482039397450754,-0.5974025974025974,-0.03174603174603171,2,1.0,0.9988412514484357,1.0,0.9988412514484357,0.0,0.0,2
Polblogs,124,config3.yml,bias,0.1,30,sll_no_g,0.25,0.0,0.0,0.905773257553096,0.9272727272727272,0.9059205776173285,0.905773257553096,0.8037383177570093,0.9090619829451445,0.8145042868646677,-0.13322338281106835,0.0034676387814020983,-0.1007635961068084,312.0,3772.0,4772.0,2,4428,16715,0.8850574712643678,0.8679026651216686,0.3103448275862069,0.8876013904982619,-0.6493506493506492,0.022696929238985385,2,1.0,0.9988412514484357,1.0,0.9988412514484357,0.0,0.0,2
