dataname,epochs,debias_method,debias_attr,reg_weight,temp,der1,der2,dfr1,dfr2,gender_f1m,age_f1m,occupation_f1m,link_ndcg
movielens,200,uge-r,age,20,1.0,0.2,0.2,0.2,0.2,0.5144230769230769,0.2048076923076923,0.025000000000000005,0.30889438047696893
movielens,200,uge-r,age,2,1.0,0.15,0.15,0.15,0.15,0.5528846153846154,0.2423076923076923,0.04423076923076923,0.3323358680633288
movielens,200,uge-r,age,20,1.0,0.2,0.2,0.2,0.2,0.5173076923076924,0.21538461538461537,0.0375,0.33483514037402984
movielens,200,uge-r,age,0.2,1.0,0.2,0.2,0.2,0.2,0.5644230769230769,0.2548076923076923,0.04423076923076923,0.33097935159999653
movielens,200,uge-r,age,2.0,1.0,0.2,0.2,0.2,0.2,0.5471153846153847,0.2298076923076923,0.035576923076923075,0.3345841769937107
movielens,200,uge-r,age,2.0,1.0,0.4,0.4,0.4,0.4,0.5384615384615384,0.23076923076923078,0.0375,0.04833895021858661
movielens,200,uge-r,age,20.0,1.0,0.2,0.2,0.2,0.2,0.5125,0.20865384615384616,0.023076923076923078,0.32708721684833786
movielens,200,uge-r,age,20.0,1.0,0.4,0.4,0.4,0.4,0.5163461538461539,0.2173076923076923,0.01730769230769231,0.0001289423950484536
movielens,100,uge-c,age,2.0,1.0,0.15,0.15,0.15,0.15,0.5384615384615384,0.23461538461538461,0.035576923076923075,0.3282296056225024
movielens,100,uge-c,age,2.0,1.0,0.2,0.2,0.2,0.2,0.5615384615384615,0.23365384615384616,0.04326923076923077,0.33216672920976964
movielens,100,uge-c,age,2.0,1.0,0.4,0.4,0.4,0.4,0.5625,0.24519230769230768,0.046153846153846156,0.33220985241494866
movielens,100,uge-c,age,20.0,1.0,0.15,0.15,0.15,0.15,0.5086538461538461,0.225,0.016346153846153847,0.3369780199314876
movielens,100,uge-c,age,20.0,1.0,0.2,0.2,0.2,0.2,0.5346153846153846,0.225,0.020192307692307693,1.9340369031283943e-05
movielens,100,uge-c,age,20.0,1.0,0.4,0.4,0.4,0.4,0.5278846153846154,0.22403846153846155,0.045192307692307684,0.21281098817670469
movielens,100,uge-c,age,200.0,1.0,0.15,0.15,0.15,0.15,0.33942307692307694,0.07884615384615384,0.01346153846153846,0.016452927533176877
movielens,100,uge-c,age,200.0,1.0,0.2,0.2,0.2,0.2,0.3384615384615385,0.038461538461538464,0.0038461538461538464,0.016457350979656803
movielens,100,uge-c,age,200.0,1.0,0.4,0.4,0.4,0.4,0.33942307692307694,0.038461538461538464,0.11634615384615385,0.01643908590532295
movielens,100,uge-c,gender,2.0,1.0,0.15,0.15,0.15,0.15,0.5567307692307693,0.2519230769230769,0.046153846153846156,0.3321691457745712
movielens,100,uge-c,gender,2.0,1.0,0.2,0.2,0.2,0.2,0.5538461538461539,0.2298076923076923,0.04038461538461539,0.332917237312729
movielens,100,uge-c,gender,2.0,1.0,0.4,0.4,0.4,0.4,0.5259615384615385,0.23173076923076924,0.046153846153846156,0.05511524215951181
movielens,100,uge-c,gender,20.0,1.0,0.15,0.15,0.15,0.15,0.5192307692307693,0.2125,0.03653846153846154,0.33217573520654076
movielens,100,uge-c,gender,20.0,1.0,0.2,0.2,0.2,0.2,0.525,0.225,0.023076923076923078,0.1655359956261249
movielens,100,uge-c,gender,20.0,1.0,0.4,0.4,0.4,0.4,0.5221153846153846,0.2269230769230769,0.032692307692307694,0.31127437270166897
movielens,200,uge-r,age,0.2,1.0,0.2,0.2,0.2,0.2,0.5538461538461539,0.23461538461538461,0.04423076923076923,0.3321669797611527
movielens,200,uge-r,age,2.0,1.0,0.2,0.2,0.2,0.2,0.5509615384615385,0.2423076923076923,0.04423076923076923,0.33492036984617757
movielens,200,uge-r,age,20.0,1.0,0.2,0.2,0.2,0.2,0.4913461538461538,0.1971153846153846,0.020192307692307693,0.29850004035653943
movielens,200,uge-r,age,40.0,1.0,0.2,0.2,0.2,0.2,0.33942307692307694,0.07884615384615384,0.01346153846153846,0.016457350979656803
movielens,200,uge-r,gender,0.2,1.0,0.2,0.2,0.2,0.2,0.5557692307692308,0.24134615384615385,0.03653846153846154,0.33283026490037304
movielens,200,uge-r,gender,2.0,1.0,0.2,0.2,0.2,0.2,0.5278846153846154,0.2298076923076923,0.03461538461538462,0.32654768850180643
movielens,200,uge-r,gender,20.0,1.0,0.2,0.2,0.2,0.2,0.5125,0.20865384615384616,0.020192307692307693,0.33281415324536495
movielens,200,uge-r,gender,40.0,1.0,0.2,0.2,0.2,0.2,0.5144230769230769,0.20288461538461539,0.01826923076923077,0.3323362697408177
movielens,200,uge-r,occupation,0.2,1.0,0.2,0.2,0.2,0.2,0.5634615384615385,0.26346153846153847,0.045192307692307684,0.33220053645026
movielens,200,uge-r,occupation,2.0,1.0,0.2,0.2,0.2,0.2,0.5375,0.23076923076923078,0.035576923076923075,0.3323327026106167
movielens,200,uge-r,occupation,20.0,1.0,0.2,0.2,0.2,0.2,0.5067307692307692,0.2076923076923077,0.023076923076923078,0.33153806951652115
movielens,200,uge-r,occupation,40.0,1.0,0.2,0.2,0.2,0.2,0.5096153846153846,0.2048076923076923,0.04326923076923077,0.332941687468571
movielens,200,uge-w,age,0.2,1.0,0.2,0.2,0.2,0.2,0.5884615384615385,0.28173076923076923,0.05384615384615384,0.3315734585001365
movielens,200,uge-w,age,2.0,1.0,0.2,0.2,0.2,0.2,0.5817307692307693,0.27403846153846156,0.04423076923076923,0.33050250114994034
movielens,200,uge-w,age,20.0,1.0,0.2,0.2,0.2,0.2,0.5836538461538462,0.27692307692307694,0.05480769230769231,0.3304466087991612
movielens,200,uge-w,age,40.0,1.0,0.2,0.2,0.2,0.2,0.5769230769230769,0.2721153846153846,0.04423076923076923,0.3276709388572908
movielens,200,uge-w,gender,0.2,1.0,0.2,0.2,0.2,0.2,0.5625,0.25096153846153846,0.05480769230769231,0.3277339842665955
movielens,200,uge-w,gender,2.0,1.0,0.2,0.2,0.2,0.2,0.5788461538461539,0.28365384615384615,0.051923076923076926,0.32768549260329777
movielens,200,uge-w,gender,20.0,1.0,0.2,0.2,0.2,0.2,0.5721153846153846,0.2701923076923077,0.05384615384615384,0.257850302507429
movielens,200,uge-w,gender,40.0,1.0,0.2,0.2,0.2,0.2,0.5711538461538461,0.25769230769230766,0.05576923076923077,0.3275881028263572
movielens,200,uge-w,occupation,0.2,1.0,0.2,0.2,0.2,0.2,0.5759615384615384,0.2721153846153846,0.051923076923076926,0.33020448058336305
movielens,200,uge-w,occupation,2.0,1.0,0.2,0.2,0.2,0.2,0.5625,0.27115384615384613,0.05384615384615384,0.32770741589152974
movielens,200,uge-w,occupation,20.0,1.0,0.2,0.2,0.2,0.2,0.5673076923076923,0.2759615384615385,0.05000000000000001,0.2976840939796029
movielens,200,uge-w,occupation,40.0,1.0,0.2,0.2,0.2,0.2,0.5875,0.2721153846153846,0.05096153846153846,0.3290236775262888
movielens,200,uge-c,age,0.2,1.0,0.2,0.2,0.2,0.2,0.5365384615384615,0.23653846153846153,0.03173076923076923,0.3321777286427913
movielens,200,uge-c,age,2.0,1.0,0.2,0.2,0.2,0.2,0.5336538461538461,0.22211538461538458,0.03365384615384615,0.2245743647860037
movielens,200,uge-c,age,20.0,1.0,0.2,0.2,0.2,0.2,0.5201923076923077,0.21153846153846154,0.025961538461538463,0.3352517229066127
movielens,200,uge-c,age,40.0,1.0,0.2,0.2,0.2,0.2,0.5076923076923077,0.20288461538461539,0.025000000000000005,0.33144875338935487
movielens,200,uge-c,gender,0.2,1.0,0.2,0.2,0.2,0.2,0.5625,0.25576923076923075,0.047115384615384615,0.33223856113582045
movielens,200,uge-c,gender,2.0,1.0,0.2,0.2,0.2,0.2,0.5384615384615384,0.22884615384615384,0.038461538461538464,0.3323393336108661
movielens,200,uge-c,gender,20.0,1.0,0.2,0.2,0.2,0.2,0.5096153846153846,0.20288461538461539,0.025000000000000005,0.3117529998155587
movielens,200,uge-c,gender,40.0,1.0,0.2,0.2,0.2,0.2,0.5076923076923077,0.20096153846153847,0.021153846153846155,0.31384721154976203
movielens,200,uge-c,occupation,0.2,1.0,0.2,0.2,0.2,0.2,0.5442307692307692,0.23942307692307693,0.041346153846153845,0.33223607432602337
movielens,200,uge-c,occupation,2.0,1.0,0.2,0.2,0.2,0.2,0.5221153846153846,0.225,0.04038461538461539,0.3312932618645519
movielens,200,uge-c,occupation,20.0,1.0,0.2,0.2,0.2,0.2,0.5144230769230769,0.21057692307692308,0.025000000000000005,0.3310198910075971
movielens,200,uge-c,occupation,40.0,1.0,0.2,0.2,0.2,0.2,0.33942307692307694,0.038461538461538464,0.0038461538461538464,0.016452927533176877