seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,task_idx,base_g0,base_gX,lock_g0,lock_gX,rel_g0,rel_gX,edges
123,cora,0.1,100,30,0.5,20,500,-1,0.7578947368421053,0.7919933966157656,0.17894736842105263,0.7412298803136608,0.7638888888888888,0.06409588327253779,5223
123,cora,0.1,100,30,0.5,20,500,0,0.9754385964912281,0.9653322327692943,0.9859649122807017,0.9120924473792819,-0.010791366906474753,0.05515177426250539,5223
123,cora,0.1,100,30,0.5,20,500,18,0.9859649122807017,0.9863805200165084,0.9929824561403509,0.9855550969872059,-0.007117437722419906,0.0008368200836820217,5223
123,cora,0.1,100,30,0.5,20,500,40,0.8947368421052632,0.9021873710276517,0.6982456140350877,0.9021873710276517,0.219607843137255,0.0,5223
123,cora,0.1,100,30,0.5,20,500,64,0.9263157894736842,0.9100288898060256,0.9754385964912281,0.8840280643829963,-0.05303030303030298,0.02857142857142858,5223
123,cora,0.1,100,30,0.5,20,500,65,0.9157894736842105,0.9034255055716055,0.9649122807017544,0.945934791580685,-0.05363984674329503,-0.047053449063499286,5223
123,cora,0.1,100,30,0.5,20,500,112,0.9824561403508771,0.9698720594304581,1.0,0.988856789104416,-0.017857142857143016,-0.019574468085106433,5223
123,cora,0.1,100,30,0.5,20,500,164,0.9122807017543859,0.9277754849360297,0.9894736842105263,0.8741229880313661,-0.08461538461538454,0.057829181494661874,5223
123,cora,0.1,100,30,0.5,20,500,180,0.9649122807017544,0.9620305406520842,0.9964912280701754,0.9859678085018572,-0.032727272727272716,-0.024882024882024956,5223
123,cora,0.1,100,30,0.5,20,500,216,0.9754385964912281,0.9624432521667354,1.0,0.9905076351630211,-0.02517985611510798,-0.029159519725557637,5223
123,cora,0.1,100,30,0.5,20,500,239,0.9929824561403509,0.976062732150227,0.9929824561403509,0.9748245976062733,0.0,0.0012684989429174731,5223
123,cora,0.1,100,30,0.5,20,500,285,0.9578947368421052,0.9554271564176641,0.9964912280701754,0.9830788278992983,-0.04029304029304037,-0.02894168466522662,5223
123,cora,0.1,100,30,0.5,20,500,286,0.9964912280701754,0.9863805200165084,1.0,0.9938093272802311,-0.0035211267605634866,-0.007531380753138084,5223
123,cora,0.1,100,30,0.5,20,500,289,0.9859649122807017,0.9706974824597606,1.0,0.9950474618241849,-0.014234875444839812,-0.02508503401360551,5223
123,cora,0.1,100,30,0.5,20,500,296,0.968421052631579,0.9525381758151052,1.0,0.9925711927362774,-0.032608695652173836,-0.042027729636048505,5223
123,cora,0.1,100,30,0.5,20,500,298,0.9719298245614035,0.9607924061081304,0.9964912280701754,0.9938093272802311,-0.025270758122743597,-0.03436426116838476,5223
123,cora,0.1,100,30,0.5,20,500,380,0.9157894736842105,0.9104416013206769,0.9859649122807017,0.9248865043334709,-0.07662835249042144,-0.015865820489573856,5223
123,cora,0.1,100,30,0.5,20,500,446,0.856140350877193,0.8633924886504334,0.968421052631579,0.8865043334709038,-0.13114754098360648,-0.026768642447418722,5223
123,cora,0.1,100,30,0.5,20,500,512,0.9368421052631579,0.9434585224927775,0.9929824561403509,0.974411886091622,-0.059925093632958726,-0.03280839895013132,5223
123,cora,0.1,100,30,0.5,20,500,551,0.9333333333333333,0.9083780437474206,0.9894736842105263,0.8988856789104416,-0.06015037593984962,0.010449795547478491,5223
123,cora,0.1,100,30,0.5,20,500,553,0.9754385964912281,0.961617829137433,0.9929824561403509,0.9438712340074288,-0.017985611510791255,0.018454935622317703,5223
123,cora,0.1,100,30,0.5,20,500,562,0.887719298245614,0.8600907965332233,0.9929824561403509,0.872472141972761,-0.11857707509881421,-0.014395393474088358,5223
123,cora,0.1,100,30,0.5,20,500,590,0.9859649122807017,0.9839042509286009,1.0,0.9834915394139496,-0.014234875444839812,0.000419463087248384,5223
123,cora,0.1,100,30,0.5,20,500,668,0.9894736842105263,0.9834915394139496,1.0,0.9946347503095336,-0.010638297872340496,-0.011330255979857373,5223
123,cora,0.1,100,30,0.5,20,500,693,0.9333333333333333,0.9108543128353281,0.9508771929824561,0.8621543541064796,-0.018796992481203034,0.05346624376982334,5223
123,cora,0.1,100,30,0.5,20,500,700,0.8947368421052632,0.8914568716467189,0.9859649122807017,0.8671068922822947,-0.10196078431372535,0.027314814814814792,5223
123,cora,0.1,100,30,0.5,20,500,706,0.9473684210526315,0.9368551382583574,0.9789473684210527,0.9500619067271977,-0.03333333333333344,-0.014096916299559448,5223
123,cora,0.1,100,30,0.5,20,500,721,0.9438596491228071,0.9422203879488238,0.9859649122807017,0.9426330994634751,-0.044609665427509215,-0.00043802014892690977,5223
123,cora,0.1,100,30,0.5,20,500,747,0.8912280701754386,0.8914568716467189,0.9789473684210527,0.9310771770532398,-0.09842519685039375,-0.04444444444444451,5223
123,cora,0.1,100,30,0.5,20,500,899,0.968421052631579,0.9636813867106893,0.9894736842105263,0.9479983491539414,-0.021739130434782483,0.016274089935760183,5223
123,cora,0.1,100,30,0.5,20,500,931,0.9157894736842105,0.8865043334709038,0.9368421052631579,0.915394139496492,-0.02298850574712641,-0.03258845437616387,5223
123,cora,0.1,100,30,0.5,20,500,1028,0.9859649122807017,0.9905076351630211,0.9929824561403509,0.9826661163846472,-0.007117437722419906,0.007916666666666683,5223
123,cora,0.1,100,30,0.5,20,500,1050,0.9403508771929825,0.8984729673957903,0.9333333333333333,0.963268675196038,0.007462686567164201,-0.07211759301791454,5223
123,cora,0.1,100,30,0.5,20,500,1082,0.9298245614035088,0.9294263309946348,0.9824561403508771,0.9178704085843995,-0.05660377358490565,0.01243339253996456,5223
123,cora,0.1,100,30,0.5,20,500,1159,0.9508771929824561,0.9244737928188197,0.9649122807017544,0.8902187371027651,-0.014760147601476037,0.037053571428571574,5223
123,cora,0.1,100,30,0.5,20,500,1161,0.9438596491228071,0.9558398679323153,0.9859649122807017,0.9962855963681386,-0.044609665427509215,-0.042314335060448904,5223
123,cora,0.1,100,30,0.5,20,500,1279,0.9438596491228071,0.9455220800660339,0.9964912280701754,0.9913330581923235,-0.055762081784386464,-0.04845045831514616,5223
123,cora,0.1,100,30,0.5,20,500,1342,0.9824561403508771,0.9748245976062733,0.9929824561403509,0.9508873297565003,-0.010714285714285676,0.024555461473327655,5223
123,cora,0.1,100,30,0.5,20,500,1356,0.8807017543859649,0.872472141972761,0.9649122807017544,0.9158068510111432,-0.09561752988047822,-0.04966887417218557,5223
123,cora,0.1,100,30,0.5,20,500,1402,0.9614035087719298,0.9550144449030128,0.9964912280701754,0.9566652909616178,-0.03649635036496357,-0.0017286084701815252,5223
123,cora,0.1,100,30,0.5,20,500,1415,0.9228070175438596,0.9273627734213784,0.9789473684210527,0.8716467189434586,-0.06083650190114076,0.060080106809078715,5223