seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,ratio_g0,ratio_gX,ratio_g0gX,feature,corr,entropy,base_g0,base_gX,d_g0,d_gX,edges,add_g0_same,add_g0_diff,add_gX_same,add_gX_diff,add_g0gX_same,add_g0gX_diff,remove_g0_same,remove_g0_diff,remove_gX_same,remove_gX_diff,remove_g0gX_same,remove_g0gX_diff
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,-1,1.0,2.641742706298828,0.7276118993759155,0.7467213273048401,-0.4776118993759155,-0.06065577268600464,2539,74,394,73,233,108,1657,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,1263,0.2510770559310913,0.9442414045333862,0.6865671277046204,0.7045081853866577,-0.044776082038879395,-0.014344274997711182,2539,258,210,167,139,1026,739,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,1177,0.010831357911229134,0.9709073901176453,0.6119402647018433,0.5856557488441467,-0.0708954930305481,0.0,2539,241,227,146,160,872,893,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,507,0.07232479006052017,0.8106923699378967,0.7238805890083313,0.7270491719245911,0.022388041019439697,-0.023770511150360107,2539,318,150,215,91,1152,613,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,19,0.11689484119415283,0.7353110313415527,0.8059701323509216,0.810245931148529,0.011194050312042236,-0.021311521530151367,2539,344,124,221,85,1253,512,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,1209,0.010354598052799702,0.7521581649780273,0.6828358173370361,0.7192623019218445,0.02985072135925293,0.01803278923034668,2539,330,138,215,91,1212,553,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,1075,0.08424898236989975,0.6649516224861145,0.7537313103675842,0.769672155380249,-0.044776082038879395,-0.045491814613342285,2539,319,149,202,104,1258,507,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,774,0.12890876829624176,0.6059454083442688,0.8171641826629639,0.8081967234611511,0.0485074520111084,0.020081937313079834,2539,393,75,239,67,1381,384,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,495,0.2750527858734131,0.44780606031417847,0.9216417670249939,0.9139344096183777,-0.02985072135925293,0.0032787322998046875,2539,380,88,283,23,1437,328,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,1381,0.04119887575507164,0.6260479688644409,0.7126865386962891,0.7221311330795288,0.059701502323150635,0.0016393661499023438,2539,317,151,219,87,1303,462,0,0,0,0,0,0
100,cora,0.1,100,30,0.25,20,500,0.11421911418437958,0.31460970640182495,0.5711711645126343,1328,0.03658942133188248,0.5733827352523804,0.8208954930305481,0.7877049446105957,0.014925360679626465,-0.04713118076324463,2539,393,75,241,65,1365,400,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,-1,1.0,2.641742706298828,0.7276118993759155,0.7467213273048401,-0.5708954781293869,-0.0479508638381958,5206,183,860,218,420,211,3314,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,1263,0.2510770559310913,0.9442414045333862,0.6865671277046204,0.7045081853866577,-0.08955222368240356,-0.010245919227600098,5206,583,460,362,276,1984,1541,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,1177,0.010831357911229134,0.9709073901176453,0.6119402647018433,0.5856557488441467,-0.0970149040222168,-0.0065574049949646,5206,561,482,333,305,1802,1723,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,507,0.07232479006052017,0.8106923699378967,0.7238805890083313,0.7270491719245911,0.0261194109916687,-0.016393423080444336,5206,681,362,432,206,2278,1247,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,19,0.11689484119415283,0.7353110313415527,0.8059701323509216,0.810245931148529,0.022388041019439697,-0.015163958072662354,5206,744,299,452,186,2521,1004,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,1209,0.010354598052799702,0.7521581649780273,0.6828358173370361,0.7192623019218445,0.014925360679626465,-0.009836077690124512,5206,711,332,428,210,2387,1138,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,1075,0.08424898236989975,0.6649516224861145,0.7537313103675842,0.769672155380249,-0.05223876237869263,-0.0413934588432312,5206,742,301,431,207,2510,1015,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,774,0.12890876829624176,0.6059454083442688,0.8171641826629639,0.8081967234611511,0.06343281269073486,0.01885247230529785,5206,835,208,480,158,2763,762,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,495,0.2750527858734131,0.44780606031417847,0.9216417670249939,0.9139344096183777,-0.03731340169906616,0.0024590492248535156,5206,869,174,571,67,2857,668,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,1381,0.04119887575507164,0.6260479688644409,0.7126865386962891,0.7221311330795288,0.08955222368240356,0.013934433460235596,5206,728,315,458,180,2613,912,0,0,0,0,0,0
100,cora,0.1,100,30,0.5,20,500,0.10049346834421158,0.3452370762825012,0.5542694330215454,1328,0.03658942133188248,0.5733827352523804,0.8208954930305481,0.7877049446105957,0.01865673065185547,-0.01885247230529785,5206,854,189,484,154,2730,795,0,0,0,0,0,0
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,-1,1.0,2.641742706298828,0.7448979616165161,0.7137531042098999,-0.47959184646606445,-0.036039769649505615,2587,70,439,84,260,82,1651,0,0,0,0,1,0
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,1263,0.2510770559310913,0.9442414045333862,0.7448979616165161,0.7154101133346558,-0.1734694242477417,-0.021955251693725586,2587,281,228,167,177,881,852,0,0,0,0,0,1
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,1177,0.010831357911229134,0.9709073901176453,0.6394557952880859,0.5799502730369568,-0.05782318115234375,0.01159900426864624,2587,272,237,180,164,897,836,0,0,0,0,0,1
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,507,0.07232479006052017,0.8106923699378967,0.7074829936027527,0.7245236039161682,0.003401339054107666,-0.10687655210494995,2587,334,175,226,118,1074,659,0,0,0,0,0,1
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,19,0.11689484119415283,0.7353110313415527,0.7721088528633118,0.787075400352478,-0.02380955219268799,-0.012013256549835205,2587,363,146,241,103,1192,541,0,0,0,0,0,1
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,1209,0.010354598052799702,0.7521581649780273,0.7108843326568604,0.7079536318778992,0.013605475425720215,-0.005799531936645508,2587,336,173,217,127,1085,648,0,0,0,0,0,1
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,1075,0.08424898236989975,0.6649516224861145,0.8061224222183228,0.8082021474838257,-0.027210891246795654,-0.049295783042907715,2587,343,166,267,77,1226,507,0,0,0,0,0,1
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,774,0.12890876829624176,0.6059454083442688,0.8435373902320862,0.8446561694145203,0.013605475425720215,0.00041425228118896484,2587,397,112,258,86,1341,392,0,0,0,0,1,0
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,495,0.2750527858734131,0.44780606031417847,0.9217686653137207,0.8947804570198059,0.030612289905548096,0.018227040767669678,2587,442,67,307,37,1442,291,0,0,0,0,1,0
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,1381,0.04119887575507164,0.6260479688644409,0.7789115309715271,0.7518641352653503,0.01700681447982788,-0.0037282705307006836,2587,379,130,243,101,1240,493,0,0,0,0,1,0
101,cora,0.1,100,30,0.25,20,500,0.04335765540599823,0.4062112867832184,0.5504311323165894,1328,0.03658942133188248,0.5733827352523804,0.7619047164916992,0.7551781535148621,-0.003401339054107666,0.006213724613189697,2587,378,131,257,87,1349,384,0,0,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,-1,1.0,2.641742706298828,0.7448979616165161,0.7137531042098999,-0.5340136140584946,-0.05550950765609741,5298,169,910,255,524,196,3242,1,0,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,1263,0.2510770559310913,0.9442414045333862,0.7448979616165161,0.7154101133346558,-0.1972789168357849,-0.007456481456756592,5298,599,480,364,415,1776,1662,1,0,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,1177,0.010831357911229134,0.9709073901176453,0.6394557952880859,0.5799502730369568,-0.01700681447982788,0.026097774505615234,5298,578,501,380,399,1729,1709,0,1,0,0,0,1
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,507,0.07232479006052017,0.8106923699378967,0.7074829936027527,0.7245236039161682,0.05102038383483887,-0.0845070481300354,5298,722,357,505,274,2167,1271,0,1,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,19,0.11689484119415283,0.7353110313415527,0.7721088528633118,0.787075400352478,-0.03741496801376343,-0.01408451795578003,5298,763,316,535,244,2393,1045,1,0,0,0,0,1
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,1209,0.010354598052799702,0.7521581649780273,0.7108843326568604,0.7079536318778992,0.03061223030090332,0.021955251693725586,5298,704,375,485,294,2194,1244,0,1,0,0,0,1
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,1075,0.08424898236989975,0.6649516224861145,0.8061224222183228,0.8082021474838257,0.0,-0.0033139586448669434,5298,742,337,567,212,2426,1012,1,0,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,774,0.12890876829624176,0.6059454083442688,0.8435373902320862,0.8446561694145203,0.006802737712860107,-0.0132560133934021,5298,812,267,587,192,2638,800,1,0,0,0,0,1
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,495,0.2750527858734131,0.44780606031417847,0.9217686653137207,0.8947804570198059,0.02380955219268799,0.02402651309967041,5298,923,156,709,70,2902,536,1,0,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,1381,0.04119887575507164,0.6260479688644409,0.7789115309715271,0.7518641352653503,-0.08163261413574219,0.04225355386734009,5298,805,274,535,244,2505,933,1,0,0,0,1,0
101,cora,0.1,100,30,0.5,20,500,0.04462660476565361,0.4093717634677887,0.546001672744751,1328,0.03658942133188248,0.5733827352523804,0.7619047164916992,0.7551781535148621,0.061224520206451416,0.02319800853729248,5298,791,288,594,185,2635,803,1,0,0,0,1,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,-1,1.0,2.641742706298828,0.7003745436668396,0.7107742428779602,-0.48689138889312744,-0.010651350021362305,2655,76,390,90,263,118,1715,0,0,3,0,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,1263,0.2510770559310913,0.9442414045333862,0.6816479563713074,0.684965193271637,-0.09363299608230591,-0.01229006052017212,2655,242,224,202,151,968,865,0,0,3,0,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,1177,0.010831357911229134,0.9709073901176453,0.5018726587295532,0.5850061178207397,0.011235952377319336,-0.01966404914855957,2655,239,227,191,162,941,892,0,0,2,1,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,507,0.07232479006052017,0.8106923699378967,0.7078651785850525,0.6628431081771851,-0.029962539672851562,0.007783651351928711,2655,304,162,233,120,1141,692,0,0,3,0,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,19,0.11689484119415283,0.7353110313415527,0.7977527976036072,0.7693567872047424,-0.022471904754638672,-0.03277343511581421,2655,319,147,252,101,1283,550,0,0,1,2,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,1209,0.010354598052799702,0.7521581649780273,0.7528089880943298,0.6976648569107056,0.011235952377319336,0.008193373680114746,2655,296,170,236,117,1237,596,0,0,3,0,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,1075,0.08424898236989975,0.6649516224861145,0.7116104960441589,0.7287996411323547,0.07865166664123535,0.04956984519958496,2655,314,152,242,111,1229,604,0,0,3,0,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,774,0.12890876829624176,0.6059454083442688,0.8164793848991394,0.8103236556053162,0.056179821491241455,0.002048313617706299,2655,349,117,275,78,1429,404,0,0,1,2,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,495,0.2750527858734131,0.44780606031417847,0.9026217460632324,0.9115116596221924,0.0,-0.007373988628387451,2655,388,78,319,34,1551,282,0,0,3,0,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,1381,0.04119887575507164,0.6260479688644409,0.7265917658805847,0.7353543639183044,0.05617976188659668,-0.014338374137878418,2655,332,134,250,103,1262,571,0,0,2,1,0,0
102,cora,0.1,100,30,0.25,20,500,0.11231286823749542,0.33593806624412537,0.551749050617218,1328,0.03658942133188248,0.5733827352523804,0.8052434325218201,0.796394944190979,0.014981269836425781,-0.03809916973114014,2655,393,73,269,84,1458,375,0,0,2,1,0,0
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,-1,1.0,2.641742706298828,0.7003745436668396,0.7107742428779602,-0.5730337202548981,0.00040972232818603516,5290,164,793,220,490,220,3397,0,0,4,0,1,1
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,1263,0.2510770559310913,0.9442414045333862,0.6816479563713074,0.684965193271637,-0.11610490083694458,0.00040966272354125977,5290,512,445,398,312,1917,1700,0,0,3,1,1,1
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,1177,0.010831357911229134,0.9709073901176453,0.5018726587295532,0.5850061178207397,0.029962539672851562,-0.02048337459564209,5290,468,489,369,341,1855,1762,0,0,3,1,2,0
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,507,0.07232479006052017,0.8106923699378967,0.7078651785850525,0.6628431081771851,-0.018726587295532227,0.014748036861419678,5290,610,347,467,243,2213,1404,0,0,4,0,2,0
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,19,0.11689484119415283,0.7353110313415527,0.7977527976036072,0.7693567872047424,-0.026217222213745117,-0.0008193254470825195,5290,659,298,497,213,2513,1104,0,0,2,2,0,2
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,1209,0.010354598052799702,0.7521581649780273,0.7528089880943298,0.6976648569107056,-0.0037453174591064453,-0.002048313617706299,5290,622,335,462,248,2407,1210,0,0,4,0,1,1
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,1075,0.08424898236989975,0.6649516224861145,0.7116104960441589,0.7287996411323547,0.08614230155944824,0.039737820625305176,5290,654,303,483,227,2458,1159,0,0,4,0,2,0
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,774,0.12890876829624176,0.6059454083442688,0.8164793848991394,0.8103236556053162,0.048689186573028564,0.010241687297821045,5290,721,236,555,155,2833,784,0,0,1,3,0,2
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,495,0.2750527858734131,0.44780606031417847,0.9026217460632324,0.9115116596221924,-0.018726587295532227,-0.010241687297821045,5290,792,165,639,71,3042,575,0,0,4,0,2,0
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,1381,0.04119887575507164,0.6260479688644409,0.7265917658805847,0.7353543639183044,0.03370785713195801,-0.009012699127197266,5290,702,255,515,195,2542,1075,0,0,3,1,2,0
102,cora,0.1,100,30,0.5,20,500,0.07043405622243881,0.38769492506980896,0.5418710708618164,1328,0.03658942133188248,0.5733827352523804,0.8052434325218201,0.796394944190979,-0.0411984920501709,-0.05530524253845215,5290,785,172,545,165,2891,726,0,0,3,1,2,0
103,cora,0.1,100,30,0.25,20,500,0.17453032732009888,0.2833022177219391,0.5421674251556396,-1,1.0,2.641742706298828,0.7464788556098938,0.7343234419822693,-0.47183096408843994,-0.04290425777435303,2615,69,398,82,322,102,1642,0,0,0,0,0,0
103,cora,0.1,100,30,0.25,20,500,0.17453032732009888,0.2833022177219391,0.5421674251556396,1263,0.2510770559310913,0.9442414045333862,0.6901408433914185,0.700082540512085,-0.10211271047592163,-0.03589111566543579,2615,260,207,170,234,835,909,0,0,0,0,0,0
103,cora,0.1,100,30,0.25,20,500,0.17453032732009888,0.2833022177219391,0.5421674251556396,1177,0.010831357911229134,0.9709073901176453,0.5457746386528015,0.5684818625450134,-0.05633804202079773,0.0004125237464904785,2615,235,232,215,189,897,847,0,0,0,0,0,0
103,cora,0.1,100,30,0.25,20,500,0.17453032732009888,0.2833022177219391,0.5421674251556396,507,0.07232479006052017,0.8106923699378967,0.6866196990013123,0.6872937679290771,-0.007042229175567627,0.00453794002532959,2615,293,174,264,140,1049,695,0,0,0,0,0,0
103,cora,0.1,100,30,0.25,20,500,0.17453032732009888,0.2833022177219391,0.5421674251556396,19,0.11689484119415283,0.7353110313415527,0.8521126508712769,0.7875412702560425,-0.01408451795578003,-0.008250832557678223,2615,328,139,292,112,1236,508,0,0,0,0,0,0
