dataset,method,acc_16,acc_32,acc_64,acc_256,acc_full
Cora,clean,0.75,0.7595573663711548,0.7525150775909424,0.7615694403648376,0.7258551120758057
Cora,pgd-0.5,0.7540241479873657,0.7354124784469604,0.7012072205543518,0.6841046214103699,0.48239436745643616
Cora,pgd_partition_2-0.5,0.7620724439620972,0.7474849224090576,0.7741448879241943,0.7842052578926086,0.5080482959747314
Cora,pgd_partition_4-0.5,0.7399396300315857,0.7354124784469604,0.7374245524406433,0.7555332183837891,0.6564386487007141
Cora,pgd_partition_16-0.5,0.7897384166717529,0.7615694403648376,0.7625754475593567,0.7766599655151367,0.7258551120758057
Cora,pgd_batch_256_20-0.5,0.7178068161010742,0.7474849224090576,0.7741448879241943,0.7902414202690125,0.713279664516449
Cora,pgd_batch_128_30-0.5,0.7213279604911804,0.7479879260063171,0.7590543031692505,0.7344064116477966,0.6861166954040527
citeseer,clean,0.7055687308311462,0.6540284156799316,0.678909957408905,0.6949052214622498,0.6682464480400085
citeseer,pgd-0.5,0.6765402555465698,0.633293867111206,0.5669431090354919,0.6238151788711548,0.5272511839866638
citeseer,pgd_partition_2-0.5,0.6563981175422668,0.6486966609954834,0.6658768057823181,0.6427724957466125,0.5681279897689819
citeseer,pgd_partition_4-0.5,0.6581753492355347,0.6475118398666382,0.6392180323600769,0.6433649063110352,0.649289071559906
citeseer,pgd_partition_16-0.5,0.6635071039199829,0.6409952640533447,0.6552132964134216,0.6640995144844055,0.6255924105644226
citeseer,pgd_batch_256_20-0.5,0.678909957408905,0.6617298722267151,0.6741706132888794,0.6978672742843628,0.6712085604667664
citeseer,pgd_batch_128_30-0.5,0.6682464480400085,0.6824644804000854,0.6795023679733276,0.6818720102310181,0.7008293867111206